,id,name,primary_region,can_unilateral
186,187,Cuban press,Other,unilaterally
187,188,Barbell shrug,Other,unilaterally
188,189,Dumbbell shrug,Other,yes
189,190,Trap-bar shrug,Other,unilaterally
190,191,Pec deck fly,Chest,unilaterally
191,192,Cable crossover (mid),Chest,yes
192,193,High-to-low cable fly,Chest,yes
193,194,Low-to-high cable fly,Chest,yes
194,195,Dumbbell squeeze press,Chest,yes
195,196,EZ-bar curl,Arms,unilaterally
196,197,Zottman curl,Arms,unilaterally
197,198,Overhead cable triceps extension (rope),Arms,yes
198,199,Incline push-up,Chest,unilaterally
199,200,Ring push-up,Chest,unilaterally
200,201,Deficit push-up,Chest,unilaterally
201,202,Cross-body cable fly,Chest,yes
202,203,"Rear delt fly (dumbbell, bent-over)",Chest,yes
203,204,Seated lateral raise,Shoulders,unilaterally
204,205,Lying lateral raise (on bench),Shoulders,unilaterally
205,206,Cable rear delt fly,Chest,yes
206,207,Spider curl,Arms,unilaterally
207,208,Bayesian cable curl (behind body),Arms,yes
208,209,Drag curl (barbell),Arms,unilaterally
209,210,Cable hammer curl (rope),Arms,yes
210,211,Cross-body hammer curl,Arms,unilaterally
211,212,JM press,Arms,unilaterally
212,213,Bench dip,Arms,unilaterally
213,214,Triceps kickback (dumbbell),Arms,yes
215,216,Copenhagen plank,Core,unilaterally
216,217,Side bend (dumbbell),Other,yes
217,218,Cable crunch (kneeling),Core,yes
218,219,Reverse crunch,Core,unilaterally
219,220,V-up,Core,unilaterally
220,221,Toes-to-bar,Other,unilaterally
221,222,Hanging windshield wiper,Core,unilaterally
222,223,Zercher carry,Full Body/Conditioning,unilaterally
224,225,Sandbag carry,Full Body/Conditioning,unilaterally
225,226,Yoke carry,Full Body/Conditioning,unilaterally
226,227,Sled drag (forward),Full Body/Conditioning,unilaterally
227,228,Sled rope pull,Full Body/Conditioning,unilaterally
228,229,Tire flip,Full Body/Conditioning,unilaterally
229,230,Atlas stone to platform,Full Body/Conditioning,unilaterally
230,231,Log clean and press,Full Body/Conditioning,unilaterally
231,232,Axle clean and press,Full Body/Conditioning,unilaterally
232,233,Kettlebell clean,Full Body/Conditioning,yes
233,234,Kettlebell snatch,Full Body/Conditioning,yes
234,235,Kettlebell push press,Other,yes
235,236,Kettlebell Turkish get-up,Other,yes
236,237,Kettlebell windmill,Other,yes
237,238,Kettlebell goblet clean,Full Body/Conditioning,yes
238,239,Kettlebell deadlift,Legs,yes
239,240,Cable kickback (glute),Glutes/Hips,yes
240,241,Quadruped hip extension (donkey kick),Glutes/Hips,unilaterally
241,242,Fire hydrant (hip abduction),Glutes/Hips,unilaterally
242,243,Banded hip thrust,Legs,unilaterally
243,244,Hip thrust machine,Legs,unilaterally
244,245,Ring row (bodyweight),Back,unilaterally
245,246,Chest-supported rear delt fly (dumbbells),Chest,yes
246,247,Wide-grip seated cable row,Back,yes
247,248,Snatch high pull,Full Body/Conditioning,unilaterally
248,249,Scapular push-up,Chest,unilaterally
249,250,Kelso shrugs (upper back),Back,yes
250,251,Kenaan flaps (lats),Back,yes
251,252,Incline machine press,Chest,yes
252,253,Leg Extension machine,Leg,yes
254,255,Cable kickback (standing),Glutes/Hips,yes
255,256,Donkey kick (machine),Glutes/Hips,unilaterally
256,257,Cable concentration curl,Arms,yes
257,258,Reverse-grip triceps pushdown,Arms,unilaterally
258,259,Preacher curl (machine),Arms,unilaterally
259,260,EZ-bar preacher curl,Arms,unilaterally
260,261,Smith machine incline bench,Chest,unilaterally
261,262,Machine front raise,Shoulders,unilaterally
262,263,Barbell seated overhead press,Shoulders,unilaterally
263,264,Reverse-grip lat pulldown,Back,unilaterally
264,265,Close-grip lat pulldown,Back,unilaterally
265,266,Cable side bend,Core,yes
266,267,Machine crunch,Core,unilaterally
267,268,Plank shoulder tap,Core,yes
268,269,Smith machine calf raise,Calves/Tibs,unilaterally
269,270,Donkey calf raise (machine),Calves/Tibs,unilaterally
270,271,Tibialis raise with dumbbell,Calves/Tibs,yes
271,272,Clean and jerk,Full Body/Conditioning,unilaterally
272,273,Burpee,Full Body/Conditioning,unilaterally
273,274,Thruster,Full Body/Conditioning,unilaterally
274,275,Weighted sit-up,Core,yes
275,276,Decline sit-up,Core,unilaterally
